,YEAR,STATE_AB,STATE,INFANT_MORTALITY_RATE,INFANT_DEATHS,POVERTY_RATE,MEDIAN_INCOME,UNINSURED_RATE,GRADUATION_RATE,VIOLENT_CRIME_RATE
176,2017,NE,Nebraska,5.54,143,0.107,59583.0,0.083,0.891,311.80006
177,2017,NV,Nevada,5.85,209,0.131,58041.0,0.112,0.809,560.5898254
178,2017,NH,New Hampshire,4.21,51,0.075,75630.0,0.058,0.889,195.7374865
179,2017,NJ,New Jersey,4.45,451,0.097,71240.0,0.077,0.905,231.8040201
180,2017,NM,New Mexico,5.85,139,0.196,45601.0,0.091,0.711,778.6394828
181,2017,NY,New York,4.58,1053,0.14,61543.0,0.057,0.818,361.1199773
182,2017,NC,North Carolina,7.03,845,0.149,49547.0,0.107,0.866,370.3995794
183,2017,ND,North Dakota,4.38,47,0.098,60167.0,0.075,0.872,282.4507135
184,2017,OH,Ohio,7.18,983,0.139,60688.0,0.06,0.842,296.8159903
185,2017,OK,Oklahoma,7.79,391,0.154,51882.0,0.142,0.826,457.428089
186,2017,OR,Oregon,5.34,233,0.132,62498.0,0.068,0.767,280.447172
187,2017,PA,Pennsylvania,6.08,837,0.125,61285.0,0.055,0.866,312.9679518
188,2017,RI,Rhode Island,6.2,66,0.117,65401.0,0.046,0.841,234.1725304
189,2017,SC,South Carolina,6.52,372,0.154,54537.0,0.11,0.836,506.0922457
190,2017,SD,South Dakota,7.75,94,0.122,56914.0,0.091,0.837,429.7561166
191,2017,TN,Tennessee,7.29,591,0.151,55306.0,0.095,0.898,654.9612345
192,2017,TX,Texas,5.85,2236,0.146,60092.0,0.173,0.897,437.7546123
193,2017,UT,Utah,5.89,286,0.096,69789.0,0.092,0.86,242.1757729
194,2017,VT,Vermont,4.77,27,0.111,63682.0,0.046,0.891,173.2516713
195,2017,VA,Virginia,5.9,592,0.105,70811.0,0.088,0.869,210.4024154
196,2017,WA,Washington,3.88,340,0.112,71540.0,0.061,0.794,302.7837303
197,2017,WV,West Virginia,6.96,130,0.191,46957.0,0.061,0.894,361.2452726
198,2017,WI,Wisconsin,6.39,415,0.109,63482.0,0.054,0.886,321.7858406
199,2017,WY,Wyoming,4.64,32,0.118,59536.0,0.123,0.862,234.5690528
200,2016,AL,Alabama,9.03,534,0.173,47221.0,0.091,0.871,532.4094315
201,2016,AK,Alaska,5.17,58,0.106,75723.0,0.14,0.761,804.5614291
202,2016,AZ,Arizona,5.32,450,0.165,57100.0,0.1,0.795,471.0332363
203,2016,AR,Arkansas,8.2,314,0.172,45907.0,0.079,0.87,554.2744185
204,2016,CA,California,4.22,2063,0.144,66637.0,0.073,0.83,444.813423
205,2016,CO,Colorado,4.76,317,0.108,70566.0,0.075,0.789,344.1164318
206,2016,CT,Connecticut,4.78,172,0.095,75923.0,0.049,0.874,227.6955753
207,2016,DE,Delaware,7.82,86,0.117,58046.0,0.057,0.855,510.0252126
208,2016,FL,Florida,6.14,1382,0.148,51176.0,0.125,0.807,429.4029377
209,2016,GA,Georgia,7.47,972,0.158,53527.0,0.129,0.794,390.4351721
210,2016,HI,Hawaii,6.04,109,0.09,72133.0,0.035,0.827,241.6211294
211,2016,ID,Idaho,5.83,131,0.144,56564.0,0.101,0.797,230.7107152
212,2016,IL,Illinois,6.38,985,0.13,61386.0,0.065,0.855,436.702996
213,2016,IN,Indiana,7.39,614,0.14,56094.0,0.081,0.868,399.698101
214,2016,IA,Iowa,5.96,235,0.114,59094.0,0.043,0.913,292.8899293
215,2016,KS,Kansas,5.99,228,0.121,56810.0,0.087,0.857,401.1719103
216,2016,KY,Kentucky,6.78,376,0.186,45369.0,0.051,0.886,235.6116717
217,2016,LA,Louisiana,7.98,504,0.203,42196.0,0.103,0.786,565.0045442
218,2016,ME,Maine,5.75,73,0.13,50856.0,0.08,0.87,123.9633387
219,2016,MD,Maryland,6.54,478,0.094,73760.0,0.061,0.876,481.6629797
220,2016,MA,Massachusetts,3.94,281,0.105,72266.0,0.025,0.875,380.6574155
221,2016,MI,Michigan,6.42,727,0.149,57091.0,0.054,0.797,460.8874363
222,2016,MN,Minnesota,5.13,358,0.098,70218.0,0.041,0.822,241.8982634
223,2016,MS,Mississippi,8.67,329,0.208,41099.0,0.118,0.823,281.736375
224,2016,MO,Missouri,6.59,492,0.139,55016.0,0.089,0.89,520.7532995
225,2016,MT,Montana,5.78,71,0.131,57075.0,0.081,0.856,374.1373467
226,2016,NE,Nebraska,6.06,161,0.117,59374.0,0.086,0.893,296.7598604
227,2016,NV,Nevada,5.76,209,0.136,55431.0,0.114,0.736,677.8590758
228,2016,NH,New Hampshire,3.67,45,0.069,76260.0,0.059,0.882,199.8479418
229,2016,NJ,New Jersey,4.03,414,0.103,68468.0,0.08,0.901,243.4839286
230,2016,NM,New Mexico,6.16,152,0.201,48451.0,0.092,0.71,699.3754771
231,2016,NY,New York,4.51,1056,0.148,61437.0,0.061,0.804,374.6417046
232,2016,NC,North Carolina,7.24,874,0.157,53764.0,0.104,0.859,371.8436195
233,2016,ND,North Dakota,6.41,73,0.116,60184.0,0.07,0.875,252.1348743
234,2016,OH,Ohio,7.43,1026,0.144,53985.0,0.056,0.835,307.6690373
235,2016,OK,Oklahoma,7.47,393,0.161,50943.0,0.138,0.816,455.3444896
236,2016,OR,Oregon,4.7,214,0.134,59135.0,0.062,0.748,268.796612
237,2016,PA,Pennsylvania,6.15,857,0.128,60979.0,0.056,0.861,315.857758
238,2016,RI,Rhode Island,5.56,60,0.127,61528.0,0.043,0.828,239.1340115
239,2016,SC,South Carolina,7.01,402,0.152,54336.0,0.1,0.826,506.8125429
240,2016,SD,South Dakota,4.89,60,0.138,57450.0,0.087,0.839,422.0339809
241,2016,TN,Tennessee,7.35,594,0.157,51344.0,0.09,0.885,638.5384314
242,2016,TX,Texas,5.72,2277,0.157,58146.0,0.166,0.891,433.8455428
243,2016,UT,Utah,5.43,274,0.104,67481.0,0.088,0.852,243.2726378
244,2016,VT,Vermont,3.47,20,0.112,60837.0,0.037,0.877,136.5195379
245,2016,VA,Virginia,5.85,599,0.111,66451.0,0.087,0.867,219.8022908
246,2016,WA,Washington,4.32,391,0.114,70310.0,0.06,0.797,303.5462209
247,2016,WV,West Virginia,7.23,138,0.183,44354.0,0.053,0.898,362.7291803
248,2016,WI,Wisconsin,6.3,420,0.118,59817.0,0.053,0.882,306.8812526
249,2016,WY,Wyoming,5.01,37,0.117,57829.0,0.115,0.8,244.6530235
